file,function,changes_in_30_days,initial_commit_date
packages/farms/src/fetchFarmsV3.ts,fetchMasterChefV3Data,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,fetchPoolInfos,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,getCakeApr,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,getV3FarmsDynamicData,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,fetchLmPools,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,fetchCommonTokenUSDValue,5,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,commonPriceFarms.find,10,2023-04-07 15:29:28+00:00
packages/farms/src/fetchFarmsV3.ts,getFarmsPrices,5,2023-04-07 15:29:28+00:00
packages/v3-sdk/src/masterchefV3.ts,constructor,2,2023-04-07 15:29:28+00:00
packages/v3-sdk/src/masterchefV3.ts,toHex,2,2023-04-07 15:29:28+00:00
packages/v3-sdk/src/masterchefV3.ts,map,2,2023-04-07 15:29:28+00:00
apps/web/src/views/Info/components/CurrencyLogo/index.tsx,(anonymous),8,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/components/PoolTable/index.tsx,(anonymous),84,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/components/SortButton/index.ts,useSortFieldClassName,1,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/components/SortButton/index.ts,(anonymous),1,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/components/TokenTable/index.tsx,(anonymous),90,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/utils/numbers.ts,formatDollarAmount,3,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/utils/numbers.ts,formatAmount,3,2023-04-08 14:43:35+00:00
apps/web/src/views/V3Info/views/TokenPage.tsx,(anonymous),21,2023-04-08 14:43:35+00:00
apps/web/src/state/swap/hooks.ts,(anonymous),121,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,useSwapState,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,involvesAddress,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,parseFloat,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,t,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,validatedRecipient,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,parseIndependentFieldURLParameter,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,useEffect,16,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,normalizeDerivedChartData,8,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,useMemo,16,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,setIsLoading,7,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,fetchAndUpdatePairPrice,7,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,fetchDerivedData,7,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,updatePairId,7,2023-04-09 03:25:23+00:00
apps/web/src/state/swap/hooks.ts,useFetchPairPrices,7,2023-04-09 03:25:23+00:00
apis/routing/src/index.ts,subgraphProvider,4,2023-04-10 03:44:18+00:00
apis/routing/src/index.ts,getKey,4,2023-04-10 03:44:18+00:00
apis/routing/src/index.ts,get :,4,2023-04-10 03:44:18+00:00
apis/routing/src/index.ts,set :,4,2023-04-10 03:44:18+00:00
apis/routing/src/index.ts,(anonymous),46,2023-04-10 03:44:18+00:00
apis/routing/src/index.ts,sha256,4,2023-04-10 03:44:18+00:00
apis/routing/src/provider.ts,(anonymous),1,2023-04-10 03:44:18+00:00
apis/routing/src/provider.ts,viemProviders,1,2023-04-10 03:44:18+00:00
apps/web/src/hooks/usePoolsOnChain.ts,>,2,2023-04-10 03:44:18+00:00
apps/web/src/hooks/usePoolsOnChain.ts,(anonymous),6,2023-04-10 03:44:18+00:00
apps/web/src/hooks/usePoolsOnChain.ts,useEffect,4,2023-04-10 03:44:18+00:00
apps/web/src/utils/nodeReal.ts,getNodeRealUrl,2,2023-04-10 03:44:18+00:00
apps/web/src/utils/viem.ts,viemProviders,1,2023-04-10 03:44:18+00:00
apps/web/src/utils/wagmi.ts,rpc,4,2023-04-10 03:44:18+00:00
apps/web/src/utils/wagmi.ts,(anonymous),16,2023-04-10 03:44:18+00:00
