,hash,date,files,deletions,insertions,lines,is_reverted,changes_in_30_days
307,c8bc8b3efccc56e789a8aebfcda7fd0e9c7985fc,2023-05-04 05:19:52+00:00,2,4,20,24,0,3
314,5414d71980025d13d228a32d8d55df10849ac1b0,2023-05-04 15:48:21+00:00,1,2,2,4,0,8
315,e816be84f67264b801aacc34ebb4ee955fbe28d6,2023-05-05 02:35:35+00:00,5,4,51,55,0,16
317,e367ce8204f29e30981430c14038724fdf3213e2,2023-05-05 02:49:51+00:00,1,1,1,2,0,1
320,ba82c8098540e22e6632db51ae22af6c0352a341,2023-05-05 04:26:47+00:00,64,4059,14,4073,0,66
321,98ad23f4652ae29e256d0b0f9c7c511657fa0c60,2023-05-05 07:27:48+00:00,1,0,8,8,0,1
322,d679febae3d08494a8dd420933f163856e75df10,2023-05-05 07:58:32+00:00,1,0,1,1,0,1
324,e154d314b7385b197c8dbcfddb6d0678442dac00,2023-05-05 09:52:09+00:00,1,11,27,38,0,0
326,5cd1fb4555f74fa1442131cc29619c61deb02385,2023-05-05 14:25:26+00:00,1,1,1,2,0,4
332,365fad5bec888b3be9301276f2d8132b5aab7cc2,2023-05-07 14:24:47+00:00,1,1,5,6,0,7
333,82fd915ac250a87d3b3f666c9adf77538aa8f1b3,2023-05-08 02:09:19+00:00,29,113,65,178,0,139
335,49689c5c14c4694412d06afebfc5e5dcdb4fc857,2023-05-08 04:51:29+00:00,14,32,92,124,0,81
336,468d5f1ebcb6c4d2cf822b5eee0a9c04e07cda13,2023-05-08 04:54:18+00:00,3,6,9,15,0,8
341,0903c56350319d11472b4340b676d82a3ce0cc15,2023-05-08 06:45:46+00:00,5,5,4,9,0,33
347,d0c44bd629d30f09381eac34143ebbb9f251b4a2,2023-05-08 12:29:18+00:00,1,11,11,22,0,2
348,b8cd9a95da5740bf1cb51030f7475f25c274dde7,2023-05-08 13:40:37+00:00,37,1608,173,1781,0,226
354,4c3be071c12f0465a0bf07648179cddc142d836e,2023-05-09 07:13:53+00:00,3,8,29,37,0,21
356,155a670ffdb6048fb2d4cd468e9fd1e8df5f42e1,2023-05-09 08:21:11+00:00,15,257,253,510,0,57
358,dddbdffe46d089c91665ee9b58b1fb83204037eb,2023-05-09 14:59:06+00:00,2,5,8,13,0,43
361,822f01c46300dab24c4c622c3a8191d4681438b6,2023-05-10 02:00:32+00:00,4,43,1,44,0,2
362,f326dbab6b9429bf29f13146158418d7994c0f89,2023-05-10 02:08:51+00:00,3,5,8,13,0,49
363,3e42160ba50dee513e7c78b03181633a50e71ccf,2023-05-10 03:08:07+00:00,19,3411,2,3413,0,184
365,051e8e10621c7b37696dc44d53c5c6a4967eeadd,2023-05-10 04:24:02+00:00,2,0,2,2,0,4
381,a94fba95c6a10e9b338a53edc6b68e1861788533,2023-05-12 02:58:17+00:00,1,9,45,54,0,2
382,79e7033141f566ab683f53b60c6c6d31959c054c,2023-05-12 03:06:34+00:00,4,7,14,21,0,5
383,e18d6039aa8c735e04996ff40ec0c259e3cd5025,2023-05-12 04:06:46+00:00,1,2,2,4,0,13
384,6eb9be3def221b8a178764b1f02c31786fdccc8d,2023-05-12 07:34:38+00:00,1,0,7,7,0,1
386,c866c0ba126f34ab7bb0a13ce0dec87bb05fd2d5,2023-05-14 00:23:44+00:00,2,2,2,4,0,1
389,8f34efdb3a295215fccb240d446ca280b8633528,2023-05-15 01:55:55+00:00,11,70,275,345,0,19
394,ce1c600a9ce326548698e5672c9d94f92849606a,2023-05-15 05:37:18+00:00,5,34,24,58,0,53
395,e3d4a1b530948559eb1c533f19c12465c197d445,2023-05-15 05:37:41+00:00,4,31,41,72,0,23
398,0f7f304ff17b5de94b890136de2930f7bf459be7,2023-05-16 02:04:43+00:00,7,276,2691,2967,0,30
402,1a2b98aea81fd0365d106dfaf58b1e2a3886a871,2023-05-16 06:41:28+00:00,88,267,293,560,0,916
413,7633b34ae88efd71e1bb1132d1b6f355919c2bfb,2023-05-16 08:45:44+00:00,1,0,7,7,0,1
420,38170b41f01a0158345e1522df005cfe50a95b6b,2023-05-17 08:22:10+00:00,1,0,7,7,0,1
421,1cda00fbc6389444cb5d4e02c6ee599c8b9472dd,2023-05-17 12:32:40+00:00,1,11,11,22,0,2
423,a0e76efb97f708afdd0cf8b947eb57d1e26eaa79,2023-05-18 00:55:27+00:00,1,17,17,34,0,2
425,a8aba93c84c7cd6c915ce87914badc1c923206c9,2023-05-18 04:28:58+00:00,1,2,0,2,0,1
426,349274569893549bdc6b18db3b55bb20d017f5f2,2023-05-18 07:28:33+00:00,1,0,7,7,0,1
427,1584e1e0eccbaf759293bf5b36fe92f9030f71dd,2023-05-18 07:46:10+00:00,1,1,1,2,0,50
428,d98e7692abb14ce0d349d154c235082c2fb257b6,2023-05-18 09:30:15+00:00,75,650,3134,3784,0,398
429,9e8a6f8ddffd2a2eb54c37cb6d86730029b372c8,2023-05-18 09:47:34+00:00,2,8,16,24,0,0
431,fc0dc8f82f355449bd2f5633d7de184b72f06c85,2023-05-19 07:09:09+00:00,12,177,268,445,0,78
433,914e334c0392a3dab81d3f95ee63e9aa2a6798ee,2023-05-19 08:18:12+00:00,5,4,52,56,0,9
434,4d52affbb227e8aa5607990d0da38f43a96157f1,2023-05-19 08:40:20+00:00,1,5,2,7,0,5
435,5a3e410eb8f89819c9a391aa289533110616c612,2023-05-19 10:11:29+00:00,2,1,28,29,0,4
437,fb72a46598b775ac2ed6f3f9eef247ccc563166c,2023-05-19 10:47:12+00:00,1,1,1,2,0,1
