Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted,failed_pipeline,changes_in_30_days,duplication_percentage
1712,74cc397d320ef07c572b4c81b7fe1a05c24feb56,2023-11-22 13:31:53+00:00,7,184,38,222,0,False,18,0.0
1738,cd5c4d0ce40bd7ab9c6a74885ad94fee1fbd4e12,2023-11-27 07:08:47+00:00,16,437,122,559,0,False,35,3.7
1772,e84e967d26c00f065d116c9679049b6300f0d53d,2023-12-01 03:38:21+00:00,48,508,1140,1648,0,False,153,8.19
1776,363e4cfb113caf93bc09a75c02a73244fe93bac7,2023-12-01 09:31:01+00:00,2,60,177,237,0,False,22,0.0
1801,63806e64aaed327133233bae2c7062eb0d4d2645,2023-12-06 10:01:19+00:00,46,107,2999,3106,0,False,177,0.0
1803,2ca2ed61f762a1d0b0f7e67ebd700ca75ba65f09,2023-12-06 10:50:06+00:00,10,1,272,273,0,False,5,0.0
1811,7b7fc8c800f684f24ea4061baa3fac701926df37,2023-12-08 02:29:31+00:00,12,2,285,287,0,False,14,0.0
1816,7506094a8150d402323385c4e006a6f99ead102d,2023-12-08 09:54:05+00:00,8,158,266,424,0,False,9,0.0
1818,567d230ee97995b516e175b379a01e0f70b5d062,2023-12-08 12:32:00+00:00,19,41,206,247,0,False,31,4.96
1822,2276608c9424ccd2ce8b4ca97188eb14b3c1b6d4,2023-12-12 03:25:21+00:00,7,128,162,290,0,False,26,0.0
1835,efced5032842ee5cec571860e9214a464d5e8d33,2023-12-13 09:31:59+00:00,20,107,306,413,0,False,24,0.0
1837,ef8ea2f5dafaa38a9fa1189d3674b97b0eab3a75,2023-12-14 01:35:03+00:00,19,98,19,117,0,False,34,1.72
1841,8ad32e1a674988de79d44e576c39088303b37fad,2023-12-14 06:55:51+00:00,23,289,88,377,0,False,60,21.52
1843,e854e7424d18c5558731af65c54a59cacc9b0b2e,2023-12-14 08:03:39+00:00,19,638,112,750,0,False,4,0.0
1846,802a2a04299daaeb9a393834a442f1ab6afc2182,2023-12-14 08:44:05+00:00,17,38,204,242,0,False,76,0.0
