Unnamed: 0,hash,date,files,deletions,insertions,lines,is_reverted
496,ae0281be7aaa36430d24491bbc5ab6ee65fec881,2023-05-29 03:16:19+00:00,1,28,35,63,False
498,a6de24d80110c445a6d66e26cfa6e1df78a7a465,2023-05-29 11:09:58+00:00,1,1,1,2,False
499,f3951cc29ebd6761f7f613cc3a6a9c53d89c113a,2023-05-29 11:18:25+00:00,6,4,8,12,False
500,dbbe9ff6deea62f95c145bfb92957348e12eea5a,2023-05-29 12:04:54+00:00,1,1,1,2,False
501,872b38f6565a4a642210e296fd1059ce0fda19bd,2023-05-29 12:40:59+00:00,1,1,8,9,False
505,26b9367f4f72cd9fa4fba68d29d7f9c0f4b73930,2023-05-29 17:54:19+00:00,3,13,9,22,False
506,1407688f836d5a00f3083725f8ed4df3b0ecbec7,2023-05-30 02:11:13+00:00,2,4,3,7,False
510,e8aa41a627971cddecefb6a901b784000bb71500,2023-05-30 02:23:41+00:00,3,29,57,86,False
511,73dead0c49e9eee1d9bba19139b108406b305b5a,2023-05-30 02:32:40+00:00,2,24,24,48,False
513,cabdb50933cccffebda2aac85ef7cfbc68657097,2023-05-30 10:39:53+00:00,1,0,7,7,False
515,1dd015acac82db62427f4b9ca38c3d072e89ace0,2023-05-30 15:22:44+00:00,1,3,3,6,False
517,96b6ad0eabc5bc9ddb84b7dd3ee4e080c103f4f4,2023-05-31 02:41:44+00:00,1,7,7,14,False
519,1411fd501aea87392c98b7dd364c1f1b0cdc7a07,2023-05-31 03:54:54+00:00,2,7,8,15,False
520,a2e7bf5f8a7eaa8f4099541f0a01680ee6357b11,2023-05-31 05:03:27+00:00,3,1,3,4,False
523,abcc295ba7b24cd53494ec6cd4a22f17aaa9a563,2023-05-31 10:31:51+00:00,3,5,6,11,False
524,b17c14d932f8e16880dab726e93717d6c180db27,2023-05-31 17:44:18+00:00,1,1,1,2,False
526,fc6fd2086c82394d254667e6605e9c74f5b5a448,2023-06-01 02:51:49+00:00,1,0,3,3,False
528,8225cf7db0aa93e0e6c94e4c4af36fb6ea63219f,2023-06-01 03:34:03+00:00,1,9,9,18,False
532,913569914ef0ece51cc0e07fe0ec8ab7afaf734e,2023-06-01 08:12:40+00:00,1,5,16,21,False
534,ca8118ca09d6cbdcbc69d04546af796eb7ec532e,2023-06-01 12:47:29+00:00,10,11,120,131,False
535,6c4551c638936b158fa1f3419c75b66709462b74,2023-06-01 13:56:14+00:00,2,2,111,113,False
543,f05f46451ff453e5022b2e75f36d77ca68d70b70,2023-06-03 19:23:04+00:00,4,20,12,32,False
544,0a5db017c2ad009e95e6e03d68aa82457b188a56,2023-06-03 20:20:39+00:00,1,3,10,13,False
545,c7f39d739dd919d8b124f6ade21e8f4388ad7ec8,2023-06-03 20:54:46+00:00,2,4,4,8,False
550,a80adeabe9e1e43c7c61bf2a8ac0fd56d2499493,2023-06-05 02:34:03+00:00,2,4,12,16,False
551,fe29e9588e5d3012882db4ace6c7017646a856b4,2023-06-05 02:34:47+00:00,2,8,2,10,False
552,e0f8bc9dbd3c01a30e195a7f772ee22436f9ee42,2023-06-05 06:43:18+00:00,3,1,16,17,False
555,7a32057913e165792580464ccdcb0559acfacb9f,2023-06-06 03:15:31+00:00,1,1,1,2,False
558,ce30e38988bd3b582ec046eb384acc940a1ff4b3,2023-06-06 03:42:55+00:00,2,52,4,56,False
559,ee8d833c65fe4b2e67d008d95e6cb10ac3cb20ea,2023-06-06 04:37:47+00:00,4,14,3,17,False
560,17aef525a2ffedf4d9ed96432d46064c6959fbb7,2023-06-06 06:39:46+00:00,6,11,64,75,False
561,680ceacd2595e0a68823e3b731f54ed48c8ad8e9,2023-06-06 15:31:56+00:00,2,0,5,5,False
564,564e386d01ba77ed2c2c4329a796ab34eaf6a1b8,2023-06-07 01:38:06+00:00,7,8,8,16,False
565,07523ae5d3cccd4e2af76efbbff693850dcc30f9,2023-06-07 03:08:05+00:00,3,38,106,144,False
566,c80c92e44ee1b1eb8794d9121b81f569e0294f4c,2023-06-07 05:21:51+00:00,2,23,23,46,False
567,2c8bea3908362b26d23400471c0e8e6c23013901,2023-06-07 07:40:09+00:00,1,1,1,2,False
568,6a9a7f4fa103324793bf7be48d897bb50dbc4e89,2023-06-07 12:30:38+00:00,1,0,24,24,False
569,f60f265e0179c1c604090d6381e13680b21d1174,2023-06-07 14:43:11+00:00,1,1,1,2,False
570,66298e82d970f480695905101ba75289402511df,2023-06-08 01:27:22+00:00,3,49,68,117,False
574,e6a741dc508774f52418694346fb941881f2aa7d,2023-06-08 02:30:50+00:00,1,6,4,10,False
575,9f0a9a4690edc665bd73e1e4fb91b41c4abff64a,2023-06-08 02:39:10+00:00,2,2,2,4,False
576,b3315de9684ceef6b0196aea41432c371f8d5b5e,2023-06-08 03:35:05+00:00,3,4,4,8,False
577,5bdf4cf389c86a202de7c8812ffb74e1701ea6ba,2023-06-08 04:07:47+00:00,5,28,60,88,False
578,0d1d21ee6757904d63b0a2cb23bbb777c1a4fe56,2023-06-08 04:18:27+00:00,2,11,28,39,False
579,197e8cee3e13625d6b345e3cc3c9d492aa293fd4,2023-06-08 04:34:39+00:00,7,13,51,64,False
580,8c68314770307a7d1a9c657716f02bd7a2985738,2023-06-08 07:51:35+00:00,3,0,42,42,False
581,914c5c2f71a924748ac59bcc9698acafb9cfca23,2023-06-08 08:20:41+00:00,8,27,55,82,False
582,3cdcf219d5958cc0444b4e7188b742cbb68c0df6,2023-06-08 08:34:40+00:00,5,6,13,19,False
583,6a59501b1a1ff022cbe631b42030ee65ad44d416,2023-06-08 14:56:24+00:00,2,2,2,4,False
584,abba1e87f3d8a0c9c8ca296d5212cfbc8147a6f7,2023-06-09 02:10:35+00:00,2,2,6,8,False
589,bbe2a44eb2b9f8a6256d3494edcf4400976484d8,2023-06-09 02:44:02+00:00,1,1,1,2,False
590,893eee10c5cdce14ee0b3d94be963f70ced34892,2023-06-09 02:55:03+00:00,1,9,9,18,False
591,31e276842ebc315a15ecbc5d2df3e73a6220a53f,2023-06-09 02:59:01+00:00,2,24,24,48,False
593,c61cad8f0274a20c2a6f4141bb8761da586a0f2f,2023-06-09 04:02:01+00:00,6,13,5,18,False
594,1a62d5674e50d85a61c00c8554953dac20378db5,2023-06-09 05:29:15+00:00,1,1,1,2,False
596,21d71afe26de9230ea5a383ef8739e25a4757f65,2023-06-09 07:07:37+00:00,1,2,0,2,False
604,77acda6cee9266a71dbdb1fc992f86ca5e767c10,2023-06-12 08:37:13+00:00,1,1,1,2,False
605,2fe09cfbaee41e4f57a6a74cb514488746b88314,2023-06-12 09:24:50+00:00,3,25,34,59,False
606,23f11a1376e16576ca7617645de6ee5dcc901b48,2023-06-12 09:39:50+00:00,1,1,1,2,False
609,5a2120bd38e07358b9114302e0f5f4bad773de4e,2023-06-13 00:37:37+00:00,1,7,7,14,False
610,9e31d6813cc6607a25404316e73c3cb8564c830c,2023-06-13 01:50:42+00:00,1,5,5,10,False
611,2083a8d0d4db60ad4f5ed7bcb1ec47a5340e0969,2023-06-13 03:27:18+00:00,3,6,16,22,False
612,79d098be73ea91ef4d548bc44a92ae49d3acdf92,2023-06-13 03:30:05+00:00,2,2,2,4,False
620,01120823876d939957c40f73f229fe90dde3ca84,2023-06-15 03:25:37+00:00,2,4,9,13,False
