programming_language,repo_name,commit_id,tool,hash,date,files,deletions,insertions,lines
TypeScript,pancakeswap/pancake-frontend,2334ddff9f848b85cdca3aaf74b44dc9b9b0bdb6,copilot-pr,2334ddff9f848b85cdca3aaf74b44dc9b9b0bdb6,2023-11-16 14:47:16+08:00,3,13,25,38
TypeScript,pancakeswap/pancake-frontend,393905e8df17a28f0545e5e3180bb398d757507c,copilot-pr,393905e8df17a28f0545e5e3180bb398d757507c,2023-11-16 14:47:06+08:00,1,1,0,1
TypeScript,pancakeswap/pancake-frontend,77d7ce224beb179eb30c06912414b1338875d1b3,copilot-pr,77d7ce224beb179eb30c06912414b1338875d1b3,2023-11-16 12:03:36+08:00,5,8,7,15
TypeScript,pancakeswap/pancake-frontend,a52543a4da9e9d0a37f0535bc4b4b3a80e746241,copilot-pr,a52543a4da9e9d0a37f0535bc4b4b3a80e746241,2023-11-16 10:27:35+08:00,1,0,1,1
TypeScript,pancakeswap/pancake-frontend,4038b921675d1761e8caac9e1b39d4ba68c50143,copilot-pr,4038b921675d1761e8caac9e1b39d4ba68c50143,2023-11-15 23:42:29+08:00,4,7,19,26
TypeScript,pancakeswap/pancake-frontend,bc3fa0dd4a0780f8dbd6b6fc01e942a52718ff32,copilot-pr,bc3fa0dd4a0780f8dbd6b6fc01e942a52718ff32,2023-11-15 22:48:22+08:00,5,1,27,28
TypeScript,pancakeswap/pancake-frontend,64a5b947111335a849bbbd06cab214142e1413f2,copilot-pr,64a5b947111335a849bbbd06cab214142e1413f2,2023-11-15 18:32:47+08:00,103,119,4503,4622
TypeScript,pancakeswap/pancake-frontend,54da61147e9291f1afdc73cc3259bd43f07bc3a8,copilot-pr,54da61147e9291f1afdc73cc3259bd43f07bc3a8,2023-11-15 16:48:59+08:00,2,0,14,14
TypeScript,pancakeswap/pancake-frontend,dbcee4ce33ad657e721e789d3f685b6e1aed4bd5,copilot-pr,dbcee4ce33ad657e721e789d3f685b6e1aed4bd5,2023-11-15 14:54:49+08:00,2,3,8,11
TypeScript,pancakeswap/pancake-frontend,757c6d45e91954f5bb4c0e2143777385f252c4ff,copilot-pr,757c6d45e91954f5bb4c0e2143777385f252c4ff,2023-11-14 15:50:41+08:00,3,3,3,6
TypeScript,pancakeswap/pancake-frontend,52a0212d1e0eb670ff7062e2f3565a0bee0bcb4d,copilot-pr,52a0212d1e0eb670ff7062e2f3565a0bee0bcb4d,2023-11-14 11:54:13+08:00,1,9,9,18
TypeScript,pancakeswap/pancake-frontend,3c56d08317673e6576daf33e612ed7325ed1b7ac,copilot-pr,3c56d08317673e6576daf33e612ed7325ed1b7ac,2023-11-14 10:44:46+08:00,1,0,1,1
TypeScript,pancakeswap/pancake-frontend,19eff8951748a85f9de8c2f36f08951e9d225329,copilot-pr,19eff8951748a85f9de8c2f36f08951e9d225329,2023-11-13 18:29:56-05:00,87,222,337,559
TypeScript,pancakeswap/pancake-frontend,db049bc0738dd5c70bdc5634087c71cd6947ace3,copilot-pr,db049bc0738dd5c70bdc5634087c71cd6947ace3,2023-11-13 08:41:02+01:00,1,4,6,10
TypeScript,pancakeswap/pancake-frontend,965654bc42937941528bdffa1526b2f839dfc8dc,copilot-pr,965654bc42937941528bdffa1526b2f839dfc8dc,2023-11-13 08:40:23+01:00,1,2,2,4
TypeScript,pancakeswap/pancake-frontend,3e855b31bd7cc2c73c898d4b8c86175154ec0a8f,copilot-pr,3e855b31bd7cc2c73c898d4b8c86175154ec0a8f,2023-11-13 08:26:18+01:00,7,75,131,206
