hash,duplication_percentage
91b8fd4203cf887370bdb4266e44cbfd9fe31433,14.7
8048a08759e8df05673ce1767598ae79eb2d9657,14.7
5f394ea447c7f9990f19b471e70b7ecb63b51262,14.7
d8cd4cb895c6bf928471d9ba3096a09c76196983,14.7
31b65f684a5dc670f1c2bbc554098cf8aa7ab167,14.69
b6440ab1acccb15c967894c0c44428b09a63bead,14.69
2c658d271c6f1723e92bdc8e8e1434e79406388a,14.69
48c39e213bb85bf4ead63690731641d348187f46,14.69
4d3dd5fa7d016ea9446386007c51946a7ffb00d0,14.69
a96c2acba43a6d8732c2ab5f1a42cb64c3089e19,14.69
87dfc51cdbd9063aec3174714e07c3370d28343c,14.69
ca9a05bc62517e4f1d5bd3984b057c8571bc2d3c,14.69
9ee13e5e34a58085f950dc06e2eefc45fa198a20,14.69
e37aa76e6dddddcb0ff3a89b5e9ef0529709a276,14.7
4db20d7495974460e45ed0d831c1de7bd564d7d2,14.7
14b229a33ff3483164c3e3072e3b8afec74627cf,14.7
ef8b5effcdea8856976144d5ca8e0f43c3b784b6,14.7
96a1ff37ed634da037c6c95dcc5bca1554f84989,14.69
96038b84a7b13a0d915322ec3296af281ea75633,14.69
44daefaa2ef2134633bf6929a01c54ea5fe1e110,14.69
35a876177fdd5e370b7b9f5facf792e2067c3c9f,14.69
ad4e99d1bee144d71686dc9cac3622aa6377f900,14.7
8217b73c30dec05d711923afbd21d3d25f60719c,14.69
c9a3e46252eb16e1cd809e64376266116e08c6a5,14.69
500adb4f898bd006d3312f5723b2bbadd1fa9575,14.69
5edc1ffb040d0870541911d6e3ef3f2912d6ffa6,14.69
b7111db1b8c02b9b0c92b34afec4280319d066e2,14.69
a74e0e8f710e371e6bc0b56f356eddd15858b0f2,14.69
4a572466dfe373cbdb25f8f8a14321bd57a82070,14.67
e0668f69bfad42f9a7142ae40882913093cbe405,14.67
fb4e38ab1855c49fc3238dcd51af1c0d8d06afda,14.67
23fc46f4afc84164d934df77c440181a10c1ffda,14.67
0980599b12435d8f6827e0e2be1198afd0dca1d5,14.67
46a40b866c84229a46b618a0a6ad21010a8897e3,14.67
81a0c73d7dda74e1b061c534f1024ce37dc6c3a4,14.67
