programming_language,repo_name,commit_id,tool
TypeScript,pancakeswap/pancake-frontend,47a901e2db9d3ce6117f08371c08f594ecf8cf8a,copilot-pr
TypeScript,pancakeswap/pancake-frontend,189b3625d3a4167ccc4343056bab5be6553b2bbf,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cde87fcaf09751ce1c744ec3fd3f0da8862a0415,copilot-pr
TypeScript,pancakeswap/pancake-frontend,dc7e171db052e6fb68f0540cd9309d40c7a76434,copilot-pr
TypeScript,pancakeswap/pancake-frontend,05f9db676e56950c9a3e84a4770f04a258a73ca2,copilot-pr
TypeScript,pancakeswap/pancake-frontend,cddf570569ae630a482448d06f0a1df367e4f8c1,copilot-pr
TypeScript,pancakeswap/pancake-frontend,8f854d3e46366098747b217ec845513e63190865,copilot-pr
TypeScript,pancakeswap/pancake-frontend,0f8e92425b0b5a4f798b397d2bca21091760ece6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,1d18f7fbe1fa8b9287be11056a423daedea140a6,copilot-pr
TypeScript,pancakeswap/pancake-frontend,d4f590b6ab329bdc28a9014dab1d75e063140b8e,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4f498e909ba7a2b2018bad8d033c9ac0f78a5a7d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,6d087cdfd6138f12da0dda138b51b99678367e32,copilot-pr
TypeScript,pancakeswap/pancake-frontend,58c8dfaf44129ddaa3e8434f9f42c3b50bd725ba,copilot-pr
TypeScript,pancakeswap/pancake-frontend,533f14d782dc8f687600da278d0ff884d93dcd54,copilot-pr
TypeScript,pancakeswap/pancake-frontend,2a684051ff1b14b728abb27d97e1934db717f6f4,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e5944e062ed3eb27de13e81f496451aba8bf5a4d,copilot-pr
TypeScript,pancakeswap/pancake-frontend,26c7862064267c5041d14af63a999bb6c001b00f,copilot-pr
TypeScript,pancakeswap/pancake-frontend,26799d529e1c0273a44b03b638e97098f7a5880b,copilot-pr
TypeScript,pancakeswap/pancake-frontend,b4d0c2cad214955143355acb493dba957015eb45,copilot-pr
TypeScript,pancakeswap/pancake-frontend,d2db1d07b53a7550e1e2a05832d4d1682f0c9713,copilot-pr
TypeScript,pancakeswap/pancake-frontend,4723ba7deb10c4b3fe3892bd18035e7b855fd962,copilot-pr
TypeScript,pancakeswap/pancake-frontend,be64afc42fffa4e2577ef1e1327902c79bdc4ddc,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e2e4e3d90c058dd80551e5d20ad3666e0691f626,copilot-pr
TypeScript,pancakeswap/pancake-frontend,dd44ad9d6c2e1bb2459809523d6fead4e035afed,copilot-pr
TypeScript,pancakeswap/pancake-frontend,500b9f325a1562745165e71d8ca639f8a55b1436,copilot-pr
TypeScript,pancakeswap/pancake-frontend,3dcaa05b1741805f2b7c307ed58e11ff221699d7,copilot-pr
TypeScript,pancakeswap/pancake-frontend,c236a3ee4633a330f93a75c79871efde24d014fe,copilot-pr
TypeScript,pancakeswap/pancake-frontend,e4dd88db383b5722bd1ad558da73723b5d46c661,copilot-pr
TypeScript,pancakeswap/pancake-frontend,dd55a433d38c9be03208ec5c6d7f586bea77d9ff,copilot-pr
